1,3087,2019-07-19,
2,154,2021-06-27,
3,2575,2021-04-21,
4,1580,2020-04-01,
5,838,2020-10-31,
6,4090,2020-02-25,
7,3249,2019-05-08,
8,495,2020-04-20,
9,948,2020-07-29,
10,2419,2021-03-23,
11,2584,2019-10-27,
12,2497,2021-12-12,
13,2957,2020-02-04,
14,3496,2021-12-22,
15,4124,2020-10-04,
16,1974,2019-02-05,
17,3634,2021-07-11,
18,4076,2020-12-14,
19,4130,2021-04-18,
20,2520,2020-07-25,
21,687,2021-06-15,
22,4860,2021-04-26,
23,3318,2019-11-14,
24,4641,2021-05-25,
25,4659,2021-10-25,
26,3935,2021-12-09,
27,2614,2021-09-27,
28,2153,2020-11-12,
29,3490,2021-05-05,
30,4757,2020-12-15,
31,1496,2019-12-02,
32,3479,2021-01-18,
33,1598,2019-04-29,
34,2716,2019-06-07,
35,2329,2021-11-14,
36,1755,2021-11-18,
37,3288,2020-07-02,
38,1837,2021-08-03,
39,4114,2019-11-29,
40,2039,2021-09-22,
41,3186,2021-08-26,
42,1638,2019-06-25,
43,1101,2019-03-05,
44,843,2020-05-14,
45,1547,2021-08-20,
46,4764,2019-05-22,
47,3164,2020-03-29,
48,186,2021-08-09,
49,1304,2020-12-16,
50,206,2020-07-02,
51,438,2019-07-21,
52,1780,2020-10-24,
53,2965,2021-11-28,
54,3060,2021-04-21,
55,142,2021-11-26,
56,574,2019-07-03,
57,921,2020-11-07,
58,4965,2019-05-16,
59,1927,2021-06-17,
60,4400,2021-11-30,
61,3160,2019-11-21,
62,4606,2021-04-04,
63,2649,2021-03-05,
64,600,2020-10-20,
65,1459,2021-06-06,
66,231,2021-05-04,
67,4254,2020-08-15,
68,3315,2020-03-21,
69,3826,2019-10-07,
70,1626,2020-09-23,
71,1257,2021-06-06,
72,2776,2019-12-08,
73,2855,2020-07-17,
74,2295,2021-06-13,
75,168,2019-02-26,
76,3562,2019-07-28,
77,3512,2020-03-24,
78,42,2020-11-22,
79,1397,2021-10-20,
80,2315,2019-08-03,
81,1809,2021-09-15,
82,1474,2020-06-06,
83,2338,2020-07-11,
84,2498,2021-04-22,
85,18,2020-06-02,
86,1140,2020-05-20,
87,2685,2020-05-03,
88,4535,2020-09-20,
89,4950,2021-01-14,
90,349,2019-04-26,
91,1669,2019-07-24,
92,686,2021-09-27,
93,4675,2020-04-11,
94,4025,2020-11-24,
95,1241,2019-04-05,
96,367,2021-11-21,
97,104,2020-06-15,
98,2680,2020-12-17,
99,2289,2020-03-23,
100,2646,2021-08-21,
101,46,2019-07-01,
102,3825,2019-01-26,
103,4027,2019-04-01,
104,3772,2019-10-18,
105,4568,2021-04-13,
106,539,2019-12-11,
107,2967,2020-12-05,
108,4658,2021-09-30,
109,2019,2020-04-26,
110,3072,2019-01-16,
111,3258,2021-08-08,
112,1240,2021-05-08,
113,758,2021-12-24,
114,2198,2019-01-07,
115,3589,2020-09-19,
116,656,2020-03-21,
117,3381,2019-10-22,
118,2931,2021-12-31,
119,3429,2019-08-17,
120,2113,2021-02-16,
121,4346,2020-09-25,
122,1096,2021-10-24,
123,3190,2022-01-01,
124,3626,2020-09-21,
125,2873,2019-09-16,
126,1587,2019-07-09,
127,2549,2020-06-02,
128,759,2021-12-10,
129,382,2020-01-11,
130,4604,2020-10-02,
131,3466,2019-03-28,
132,1733,2019-09-10,
133,393,2019-05-11,
134,1127,2021-11-16,
135,1192,2020-02-10,
136,363,2021-11-22,
137,4699,2019-12-13,
138,2235,2020-09-03,
139,2332,2021-04-07,
140,2668,2019-07-31,
141,4045,2019-12-26,
142,4005,2019-03-16,
143,2566,2021-07-27,
144,4946,2021-11-21,
145,1852,2019-08-28,
146,4907,2021-02-26,
147,332,2021-12-24,
148,3006,2021-04-16,
149,4268,2021-11-11,
150,4749,2020-09-21,
151,4397,2020-07-06,
152,566,2020-04-09,
153,185,2019-05-25,
154,4294,2020-08-05,
155,2868,2019-07-02,
156,3074,2020-06-28,
157,2630,2021-04-17,
158,3200,2019-05-31,
159,1289,2019-01-03,
160,3225,2020-07-24,
161,1713,2021-02-13,
162,118,2019-10-26,
163,3211,2021-02-08,
164,695,2020-07-14,
165,4617,2021-01-02,
166,3391,2021-06-03,
167,3996,2020-02-14,
168,3011,2020-05-18,
169,1145,2021-11-08,
170,3431,2020-01-18,
171,1997,2020-12-24,
172,3170,2020-07-16,
173,2005,2019-10-26,
174,1282,2019-12-23,
175,1346,2019-03-20,
176,885,2020-04-07,
177,3569,2020-01-12,
178,1341,2019-11-13,
179,258,2021-05-24,
180,1255,2020-05-23,
181,3034,2020-03-16,
182,975,2019-03-26,
183,490,2020-07-25,
184,134,2019-12-31,
185,2764,2019-08-17,
186,1603,2019-12-15,
187,3958,2021-02-07,
188,1458,2019-06-03,
189,2252,2021-11-08,
190,1204,2019-05-29,
191,3824,2021-06-02,
192,4901,2020-05-27,
193,1491,2019-06-22,
194,2208,2019-02-01,
195,1689,2020-01-29,
196,1680,2021-10-15,
197,1376,2019-02-06,
198,2589,2021-08-28,
199,239,2019-03-12,
200,2123,2019-10-13,
201,2838,2021-12-02,
202,1766,2019-09-15,
203,2995,2021-02-06,
204,3981,2021-06-11,
205,2567,2021-03-03,
206,3791,2021-09-12,
207,2239,2019-10-25,
208,366,2019-09-21,
209,4120,2020-01-06,
210,4692,2021-01-15,
211,3274,2020-02-12,
212,3356,2019-06-07,
213,95,2021-09-19,
214,3365,2020-11-26,
215,4967,2019-03-11,
216,3214,2019-11-03,
217,3118,2019-11-21,
218,817,2019-08-31,
219,436,2021-02-13,
220,3210,2020-01-22,
221,2692,2020-08-10,
222,4220,2020-08-10,
223,2726,2019-06-13,
224,1078,2020-05-27,
225,2926,2021-09-19,
226,1532,2021-09-16,
227,347,2021-04-24,
228,4023,2021-01-29,
229,3463,2021-08-09,
230,4516,2020-05-05,
231,3532,2019-06-15,
232,4540,2019-05-27,
233,256,2021-09-19,
234,4642,2019-09-29,
235,2723,2020-07-29,
236,1588,2021-03-29,
237,3380,2019-06-04,
238,3655,2019-02-24,
239,232,2021-04-19,
240,415,2019-09-28,
241,2637,2019-10-22,
